2025-06-24T00:15:49.451+08:00 DEBUG 46028 --- [quizz-b] [http-nio-8081-exec-2] o.s.web.servlet.DispatcherServlet        : GET "/quizzes?type=ALL&page=1&size=10", parameters={masked}
2025-06-24T00:15:49.580+08:00 DEBUG 46028 --- [quizz-b] [http-nio-8081-exec-2] org.hibernate.SQL                        : select count(qr1_0.id) from quiz_records qr1_0 left join quiz q1_0 on q1_0.id=qr1_0.quiz_id where q1_0.id=? and qr1_0.is_correct
2025-06-24T00:15:49.581+08:00 DEBUG 46028 --- [quizz-b] [http-nio-8081-exec-2] org.hibernate.SQL                        : select t1_0.quiz_id,t1_1.id,t1_1.count_article,t1_1.count_quiz,t1_1.count_search,t1_1.create_time,t1_1.home_hot_order,t1_1.name,t1_1.update_time from quiz_tags t1_0 join tags t1_1 on t1_1.id=t1_0.tag_id where t1_0.quiz_id=?
2025-06-24T00:15:49.581+08:00 DEBUG 46028 --- [quizz-b] [http-nio-8081-exec-2] org.hibernate.SQL                        : select count(qr1_0.id) from quiz_records qr1_0 left join quiz q1_0 on q1_0.id=qr1_0.quiz_id where q1_0.id=?
2025-06-24T00:15:49.582+08:00 DEBUG 46028 --- [quizz-b] [http-nio-8081-exec-2] org.hibernate.SQL                        : select count(qr1_0.id) from quiz_records qr1_0 left join quiz q1_0 on q1_0.id=qr1_0.quiz_id where q1_0.id=? and qr1_0.is_correct
2025-06-24T00:15:49.582+08:00 DEBUG 46028 --- [quizz-b] [http-nio-8081-exec-2] org.hibernate.SQL                        : select t1_0.quiz_id,t1_1.id,t1_1.count_article,t1_1.count_quiz,t1_1.count_search,t1_1.create_time,t1_1.home_hot_order,t1_1.name,t1_1.update_time from quiz_tags t1_0 join tags t1_1 on t1_1.id=t1_0.tag_id where t1_0.quiz_id=?
2025-06-24T00:15:49.582+08:00 DEBUG 46028 --- [quizz-b] [http-nio-8081-exec-2] org.hibernate.SQL                        : select count(qr1_0.id) from quiz_records qr1_0 left join quiz q1_0 on q1_0.id=qr1_0.quiz_id where q1_0.id=?
2025-06-24T00:15:49.583+08:00 DEBUG 46028 --- [quizz-b] [http-nio-8081-exec-2] org.hibernate.SQL                        : select count(qr1_0.id) from quiz_records qr1_0 left join quiz q1_0 on q1_0.id=qr1_0.quiz_id where q1_0.id=? and qr1_0.is_correct
2025-06-24T00:15:49.583+08:00 DEBUG 46028 --- [quizz-b] [http-nio-8081-exec-2] org.hibernate.SQL                        : select t1_0.quiz_id,t1_1.id,t1_1.count_article,t1_1.count_quiz,t1_1.count_search,t1_1.create_time,t1_1.home_hot_order,t1_1.name,t1_1.update_time from quiz_tags t1_0 join tags t1_1 on t1_1.id=t1_0.tag_id where t1_0.quiz_id=?
2025-06-24T00:15:49.584+08:00 DEBUG 46028 --- [quizz-b] [http-nio-8081-exec-2] o.s.w.s.m.m.a.HttpEntityMethodProcessor  : Using 'application/json', given [*/*] and supported [application/json, application/*+json]
2025-06-24T00:15:49.585+08:00 DEBUG 46028 --- [quizz-b] [http-nio-8081-exec-2] o.s.w.s.m.m.a.HttpEntityMethodProcessor  : Writing [ApiResponse(status=200, message=取得成功, data={totalItems=19, totalPages=2, pageSize=10, currentPage=1, (truncated)...]
2025-06-24T00:15:49.585+08:00 DEBUG 46028 --- [quizz-b] [http-nio-8081-exec-2] o.s.web.servlet.DispatcherServlet        : Completed 200 OK
2025-06-24T00:15:49.587+08:00 DEBUG 46028 --- [quizz-b] [http-nio-8081-exec-10] o.s.web.servlet.DispatcherServlet        : GET "/quizzes?type=ALL&page=1&size=10", parameters={masked}
2025-06-24T00:15:49.587+08:00 DEBUG 46028 --- [quizz-b] [http-nio-8081-exec-10] s.w.s.m.m.a.RequestMappingHandlerMapping : Mapped to com.example.quizz_b.controller.QuizController#getAllQuizzes(String, int, int)
2025-06-24T00:15:49.587+08:00 DEBUG 46028 --- [quizz-b] [http-nio-8081-exec-10] org.hibernate.SQL                        : select q1_0.id,q1_0.answer_detail,q1_0.user_id,q1_0.create_time,q1_0.flash_answer,q1_0.is_delete,q1_0.quiz_type,q1_0.single_answer_id,q1_0.title,q1_0.title_detail,q1_0.update_time from quiz q1_0 where q1_0.is_delete=0 order by q1_0.create_time desc limit ?
2025-06-24T00:15:49.587+08:00 DEBUG 46028 --- [quizz-b] [http-nio-8081-exec-10] org.hibernate.SQL                        : select u1_0.id,u1_0.avatar_url,u1_0.bio,u1_0.code_generated_at,u1_0.create_time,u1_0.email,u1_0.password,u1_0.profile_bg_url,u1_0.role,u1_0.status,u1_0.update_time,u1_0.username,u1_0.verification_code from users u1_0 where u1_0.id=?
2025-06-24T00:15:49.589+08:00 DEBUG 46028 --- [quizz-b] [http-nio-8081-exec-10] org.hibernate.SQL                        : select count(q1_0.id) from quiz q1_0 where q1_0.is_delete=0
2025-06-24T00:15:49.589+08:00 DEBUG 46028 --- [quizz-b] [http-nio-8081-exec-10] org.hibernate.SQL                        : select count(qr1_0.id) from quiz_records qr1_0 left join quiz q1_0 on q1_0.id=qr1_0.quiz_id where q1_0.id=?
2025-06-24T00:15:49.589+08:00 DEBUG 46028 --- [quizz-b] [http-nio-8081-exec-10] org.hibernate.SQL                        : select count(qr1_0.id) from quiz_records qr1_0 left join quiz q1_0 on q1_0.id=qr1_0.quiz_id where q1_0.id=? and qr1_0.is_correct
2025-06-24T00:15:49.591+08:00 DEBUG 46028 --- [quizz-b] [http-nio-8081-exec-10] org.hibernate.SQL                        : select t1_0.quiz_id,t1_1.id,t1_1.count_article,t1_1.count_quiz,t1_1.count_search,t1_1.create_time,t1_1.home_hot_order,t1_1.name,t1_1.update_time from quiz_tags t1_0 join tags t1_1 on t1_1.id=t1_0.tag_id where t1_0.quiz_id=?
2025-06-24T00:15:49.591+08:00 DEBUG 46028 --- [quizz-b] [http-nio-8081-exec-10] org.hibernate.SQL                        : select count(qr1_0.id) from quiz_records qr1_0 left join quiz q1_0 on q1_0.id=qr1_0.quiz_id where q1_0.id=?
2025-06-24T00:15:49.592+08:00 DEBUG 46028 --- [quizz-b] [http-nio-8081-exec-10] org.hibernate.SQL                        : select count(qr1_0.id) from quiz_records qr1_0 left join quiz q1_0 on q1_0.id=qr1_0.quiz_id where q1_0.id=? and qr1_0.is_correct
2025-06-24T00:15:49.592+08:00 DEBUG 46028 --- [quizz-b] [http-nio-8081-exec-10] org.hibernate.SQL                        : select t1_0.quiz_id,t1_1.id,t1_1.count_article,t1_1.count_quiz,t1_1.count_search,t1_1.create_time,t1_1.home_hot_order,t1_1.name,t1_1.update_time from quiz_tags t1_0 join tags t1_1 on t1_1.id=t1_0.tag_id where t1_0.quiz_id=?
2025-06-24T00:15:49.592+08:00 DEBUG 46028 --- [quizz-b] [http-nio-8081-exec-10] org.hibernate.SQL                        : select count(qr1_0.id) from quiz_records qr1_0 left join quiz q1_0 on q1_0.id=qr1_0.quiz_id where q1_0.id=?
2025-06-24T00:15:49.592+08:00 DEBUG 46028 --- [quizz-b] [http-nio-8081-exec-10] org.hibernate.SQL                        : select count(qr1_0.id) from quiz_records qr1_0 left join quiz q1_0 on q1_0.id=qr1_0.quiz_id where q1_0.id=? and qr1_0.is_correct
2025-06-24T00:15:49.593+08:00 DEBUG 46028 --- [quizz-b] [http-nio-8081-exec-10] org.hibernate.SQL                        : select t1_0.quiz_id,t1_1.id,t1_1.count_article,t1_1.count_quiz,t1_1.count_search,t1_1.create_time,t1_1.home_hot_order,t1_1.name,t1_1.update_time from quiz_tags t1_0 join tags t1_1 on t1_1.id=t1_0.tag_id where t1_0.quiz_id=?
2025-06-24T00:15:49.593+08:00 DEBUG 46028 --- [quizz-b] [http-nio-8081-exec-10] org.hibernate.SQL                        : select count(qr1_0.id) from quiz_records qr1_0 left join quiz q1_0 on q1_0.id=qr1_0.quiz_id where q1_0.id=?
2025-06-24T00:15:49.593+08:00 DEBUG 46028 --- [quizz-b] [http-nio-8081-exec-10] org.hibernate.SQL                        : select count(qr1_0.id) from quiz_records qr1_0 left join quiz q1_0 on q1_0.id=qr1_0.quiz_id where q1_0.id=? and qr1_0.is_correct
2025-06-24T00:15:49.594+08:00 DEBUG 46028 --- [quizz-b] [http-nio-8081-exec-10] org.hibernate.SQL                        : select t1_0.quiz_id,t1_1.id,t1_1.count_article,t1_1.count_quiz,t1_1.count_search,t1_1.create_time,t1_1.home_hot_order,t1_1.name,t1_1.update_time from quiz_tags t1_0 join tags t1_1 on t1_1.id=t1_0.tag_id where t1_0.quiz_id=?
2025-06-24T00:15:49.594+08:00 DEBUG 46028 --- [quizz-b] [http-nio-8081-exec-10] org.hibernate.SQL                        : select count(qr1_0.id) from quiz_records qr1_0 left join quiz q1_0 on q1_0.id=qr1_0.quiz_id where q1_0.id=?
2025-06-24T00:15:49.594+08:00 DEBUG 46028 --- [quizz-b] [http-nio-8081-exec-10] org.hibernate.SQL                        : select count(qr1_0.id) from quiz_records qr1_0 left join quiz q1_0 on q1_0.id=qr1_0.quiz_id where q1_0.id=? and qr1_0.is_correct
2025-06-24T00:15:49.594+08:00 DEBUG 46028 --- [quizz-b] [http-nio-8081-exec-10] org.hibernate.SQL                        : select t1_0.quiz_id,t1_1.id,t1_1.count_article,t1_1.count_quiz,t1_1.count_search,t1_1.create_time,t1_1.home_hot_order,t1_1.name,t1_1.update_time from quiz_tags t1_0 join tags t1_1 on t1_1.id=t1_0.tag_id where t1_0.quiz_id=?
2025-06-24T00:15:49.595+08:00 DEBUG 46028 --- [quizz-b] [http-nio-8081-exec-10] org.hibernate.SQL                        : select count(qr1_0.id) from quiz_records qr1_0 left join quiz q1_0 on q1_0.id=qr1_0.quiz_id where q1_0.id=?
2025-06-24T00:15:49.595+08:00 DEBUG 46028 --- [quizz-b] [http-nio-8081-exec-10] org.hibernate.SQL                        : select count(qr1_0.id) from quiz_records qr1_0 left join quiz q1_0 on q1_0.id=qr1_0.quiz_id where q1_0.id=? and qr1_0.is_correct
2025-06-24T00:15:49.595+08:00 DEBUG 46028 --- [quizz-b] [http-nio-8081-exec-10] org.hibernate.SQL                        : select t1_0.quiz_id,t1_1.id,t1_1.count_article,t1_1.count_quiz,t1_1.count_search,t1_1.create_time,t1_1.home_hot_order,t1_1.name,t1_1.update_time from quiz_tags t1_0 join tags t1_1 on t1_1.id=t1_0.tag_id where t1_0.quiz_id=?
2025-06-24T00:15:49.596+08:00 DEBUG 46028 --- [quizz-b] [http-nio-8081-exec-10] org.hibernate.SQL                        : select count(qr1_0.id) from quiz_records qr1_0 left join quiz q1_0 on q1_0.id=qr1_0.quiz_id where q1_0.id=?
2025-06-24T00:15:49.596+08:00 DEBUG 46028 --- [quizz-b] [http-nio-8081-exec-10] org.hibernate.SQL                        : select count(qr1_0.id) from quiz_records qr1_0 left join quiz q1_0 on q1_0.id=qr1_0.quiz_id where q1_0.id=? and qr1_0.is_correct
2025-06-24T00:15:49.596+08:00 DEBUG 46028 --- [quizz-b] [http-nio-8081-exec-10] org.hibernate.SQL                        : select t1_0.quiz_id,t1_1.id,t1_1.count_article,t1_1.count_quiz,t1_1.count_search,t1_1.create_time,t1_1.home_hot_order,t1_1.name,t1_1.update_time from quiz_tags t1_0 join tags t1_1 on t1_1.id=t1_0.tag_id where t1_0.quiz_id=?
2025-06-24T00:15:49.597+08:00 DEBUG 46028 --- [quizz-b] [http-nio-8081-exec-10] org.hibernate.SQL                        : select count(qr1_0.id) from quiz_records qr1_0 left join quiz q1_0 on q1_0.id=qr1_0.quiz_id where q1_0.id=?
2025-06-24T00:15:49.597+08:00 DEBUG 46028 --- [quizz-b] [http-nio-8081-exec-10] org.hibernate.SQL                        : select count(qr1_0.id) from quiz_records qr1_0 left join quiz q1_0 on q1_0.id=qr1_0.quiz_id where q1_0.id=? and qr1_0.is_correct
2025-06-24T00:15:49.598+08:00 DEBUG 46028 --- [quizz-b] [http-nio-8081-exec-10] org.hibernate.SQL                        : select t1_0.quiz_id,t1_1.id,t1_1.count_article,t1_1.count_quiz,t1_1.count_search,t1_1.create_time,t1_1.home_hot_order,t1_1.name,t1_1.update_time from quiz_tags t1_0 join tags t1_1 on t1_1.id=t1_0.tag_id where t1_0.quiz_id=?
2025-06-24T00:15:49.598+08:00 DEBUG 46028 --- [quizz-b] [http-nio-8081-exec-10] org.hibernate.SQL                        : select count(qr1_0.id) from quiz_records qr1_0 left join quiz q1_0 on q1_0.id=qr1_0.quiz_id where q1_0.id=?
2025-06-24T00:15:49.598+08:00 DEBUG 46028 --- [quizz-b] [http-nio-8081-exec-10] org.hibernate.SQL                        : select count(qr1_0.id) from quiz_records qr1_0 left join quiz q1_0 on q1_0.id=qr1_0.quiz_id where q1_0.id=? and qr1_0.is_correct
2025-06-24T00:15:49.599+08:00 DEBUG 46028 --- [quizz-b] [http-nio-8081-exec-10] org.hibernate.SQL                        : select t1_0.quiz_id,t1_1.id,t1_1.count_article,t1_1.count_quiz,t1_1.count_search,t1_1.create_time,t1_1.home_hot_order,t1_1.name,t1_1.update_time from quiz_tags t1_0 join tags t1_1 on t1_1.id=t1_0.tag_id where t1_0.quiz_id=?
2025-06-24T00:15:49.599+08:00 DEBUG 46028 --- [quizz-b] [http-nio-8081-exec-10] org.hibernate.SQL                        : select count(qr1_0.id) from quiz_records qr1_0 left join quiz q1_0 on q1_0.id=qr1_0.quiz_id where q1_0.id=?
2025-06-24T00:15:49.599+08:00 DEBUG 46028 --- [quizz-b] [http-nio-8081-exec-10] org.hibernate.SQL                        : select count(qr1_0.id) from quiz_records qr1_0 left join quiz q1_0 on q1_0.id=qr1_0.quiz_id where q1_0.id=? and qr1_0.is_correct
2025-06-24T00:15:49.599+08:00 DEBUG 46028 --- [quizz-b] [http-nio-8081-exec-10] org.hibernate.SQL                        : select t1_0.quiz_id,t1_1.id,t1_1.count_article,t1_1.count_quiz,t1_1.count_search,t1_1.create_time,t1_1.home_hot_order,t1_1.name,t1_1.update_time from quiz_tags t1_0 join tags t1_1 on t1_1.id=t1_0.tag_id where t1_0.quiz_id=?
2025-06-24T00:15:49.600+08:00 DEBUG 46028 --- [quizz-b] [http-nio-8081-exec-10] o.s.w.s.m.m.a.HttpEntityMethodProcessor  : Using 'application/json', given [*/*] and supported [application/json, application/*+json]
2025-06-24T00:15:49.600+08:00 DEBUG 46028 --- [quizz-b] [http-nio-8081-exec-10] o.s.w.s.m.m.a.HttpEntityMethodProcessor  : Writing [ApiResponse(status=200, message=取得成功, data={totalItems=19, totalPages=2, pageSize=10, currentPage=1, (truncated)...]
2025-06-24T00:15:49.601+08:00 DEBUG 46028 --- [quizz-b] [http-nio-8081-exec-10] o.s.web.servlet.DispatcherServlet        : Completed 200 OK
2025-06-24T00:22:39.291+08:00 DEBUG 46028 --- [quizz-b] [http-nio-8081-exec-3] o.s.web.servlet.DispatcherServlet        : GET "/quizzes?type=FLASH&page=1&size=10", parameters={masked}
2025-06-24T00:22:39.291+08:00 DEBUG 46028 --- [quizz-b] [http-nio-8081-exec-3] s.w.s.m.m.a.RequestMappingHandlerMapping : Mapped to com.example.quizz_b.controller.QuizController#getAllQuizzes(String, int, int)
2025-06-24T00:22:39.292+08:00 DEBUG 46028 --- [quizz-b] [http-nio-8081-exec-3] org.hibernate.SQL                        : select q1_0.id,q1_0.answer_detail,q1_0.user_id,q1_0.create_time,q1_0.flash_answer,q1_0.is_delete,q1_0.quiz_type,q1_0.single_answer_id,q1_0.title,q1_0.title_detail,q1_0.update_time from quiz q1_0 where q1_0.is_delete=0 and q1_0.quiz_type=? order by q1_0.create_time desc limit ?
2025-06-24T00:22:39.293+08:00 DEBUG 46028 --- [quizz-b] [http-nio-8081-exec-3] org.hibernate.SQL                        : select u1_0.id,u1_0.avatar_url,u1_0.bio,u1_0.code_generated_at,u1_0.create_time,u1_0.email,u1_0.password,u1_0.profile_bg_url,u1_0.role,u1_0.status,u1_0.update_time,u1_0.username,u1_0.verification_code from users u1_0 where u1_0.id=?
2025-06-24T00:22:39.297+08:00 DEBUG 46028 --- [quizz-b] [http-nio-8081-exec-3] org.hibernate.SQL                        : select count(qr1_0.id) from quiz_records qr1_0 left join quiz q1_0 on q1_0.id=qr1_0.quiz_id where q1_0.id=?
2025-06-24T00:22:39.299+08:00 DEBUG 46028 --- [quizz-b] [http-nio-8081-exec-3] org.hibernate.SQL                        : select count(qr1_0.id) from quiz_records qr1_0 left join quiz q1_0 on q1_0.id=qr1_0.quiz_id where q1_0.id=? and qr1_0.is_correct
2025-06-24T00:22:39.299+08:00 DEBUG 46028 --- [quizz-b] [http-nio-8081-exec-3] org.hibernate.SQL                        : select t1_0.quiz_id,t1_1.id,t1_1.count_article,t1_1.count_quiz,t1_1.count_search,t1_1.create_time,t1_1.home_hot_order,t1_1.name,t1_1.update_time from quiz_tags t1_0 join tags t1_1 on t1_1.id=t1_0.tag_id where t1_0.quiz_id=?
2025-06-24T00:22:39.300+08:00 DEBUG 46028 --- [quizz-b] [http-nio-8081-exec-3] org.hibernate.SQL                        : select count(qr1_0.id) from quiz_records qr1_0 left join quiz q1_0 on q1_0.id=qr1_0.quiz_id where q1_0.id=?
2025-06-24T00:22:39.300+08:00 DEBUG 46028 --- [quizz-b] [http-nio-8081-exec-3] org.hibernate.SQL                        : select count(qr1_0.id) from quiz_records qr1_0 left join quiz q1_0 on q1_0.id=qr1_0.quiz_id where q1_0.id=? and qr1_0.is_correct
2025-06-24T00:22:39.300+08:00 DEBUG 46028 --- [quizz-b] [http-nio-8081-exec-3] org.hibernate.SQL                        : select t1_0.quiz_id,t1_1.id,t1_1.count_article,t1_1.count_quiz,t1_1.count_search,t1_1.create_time,t1_1.home_hot_order,t1_1.name,t1_1.update_time from quiz_tags t1_0 join tags t1_1 on t1_1.id=t1_0.tag_id where t1_0.quiz_id=?
2025-06-24T00:22:39.301+08:00 DEBUG 46028 --- [quizz-b] [http-nio-8081-exec-3] org.hibernate.SQL                        : select count(qr1_0.id) from quiz_records qr1_0 left join quiz q1_0 on q1_0.id=qr1_0.quiz_id where q1_0.id=?
2025-06-24T00:22:39.301+08:00 DEBUG 46028 --- [quizz-b] [http-nio-8081-exec-3] org.hibernate.SQL                        : select count(qr1_0.id) from quiz_records qr1_0 left join quiz q1_0 on q1_0.id=qr1_0.quiz_id where q1_0.id=? and qr1_0.is_correct
2025-06-24T00:22:39.302+08:00 DEBUG 46028 --- [quizz-b] [http-nio-8081-exec-3] org.hibernate.SQL                        : select t1_0.quiz_id,t1_1.id,t1_1.count_article,t1_1.count_quiz,t1_1.count_search,t1_1.create_time,t1_1.home_hot_order,t1_1.name,t1_1.update_time from quiz_tags t1_0 join tags t1_1 on t1_1.id=t1_0.tag_id where t1_0.quiz_id=?
2025-06-24T00:22:39.302+08:00 DEBUG 46028 --- [quizz-b] [http-nio-8081-exec-3] org.hibernate.SQL                        : select count(qr1_0.id) from quiz_records qr1_0 left join quiz q1_0 on q1_0.id=qr1_0.quiz_id where q1_0.id=?
2025-06-24T00:22:39.302+08:00 DEBUG 46028 --- [quizz-b] [http-nio-8081-exec-3] org.hibernate.SQL                        : select count(qr1_0.id) from quiz_records qr1_0 left join quiz q1_0 on q1_0.id=qr1_0.quiz_id where q1_0.id=? and qr1_0.is_correct
2025-06-24T00:22:39.303+08:00 DEBUG 46028 --- [quizz-b] [http-nio-8081-exec-3] org.hibernate.SQL                        : select t1_0.quiz_id,t1_1.id,t1_1.count_article,t1_1.count_quiz,t1_1.count_search,t1_1.create_time,t1_1.home_hot_order,t1_1.name,t1_1.update_time from quiz_tags t1_0 join tags t1_1 on t1_1.id=t1_0.tag_id where t1_0.quiz_id=?
